Date,Open,High,Low,Close,Adj Close,Volume,Percent Change
7/21/20,326.450012,326.929993,323.940002,325.01001,308.335388,57292200,0.002127536
7/22/20,324.619995,327.200012,324.5,326.859985,310.090515,57792900,0.005692266
7/23/20,326.470001,327.230011,321.480011,322.959991,306.390564,75738000,-0.011931842
7/24/20,320.950012,321.98999,319.25,320.880005,304.417297,73766600,-0.006440365
7/27/20,321.630005,323.410004,320.769989,323.220001,306.637238,48293000,0.007292427
7/28/20,322.429993,323.640015,320.850006,321.170013,304.692474,57495000,-0.00634223
7/29/20,322.119995,325.730011,322.079987,325.119995,308.439789,48454200,0.012298679
7/30/20,321.899994,324.410004,319.640015,323.959991,307.339233,61861700,-0.003568139
7/31/20,325.899994,326.630005,321.329987,326.519989,309.767853,84986800,0.007902083
8/3/20,328.320007,329.619995,327.730011,328.790009,311.921478,53077900,0.006952384
8/4/20,327.859985,330.059998,327.859985,330.059998,313.126343,41917900,0.003862719
8/5/20,331.470001,332.390015,331.179993,332.109985,315.071106,42697700,0.006210793
8/6/20,331.480011,334.459991,331.130005,334.329987,317.177216,43679400,0.006684555
8/7/20,333.279999,334.880005,332.299988,334.570007,317.404907,57308300,0.000717867
8/10/20,335.059998,335.769989,332.959991,335.570007,318.353607,44282100,0.002988927
8/11/20,336.850006,337.540009,332.01001,332.799988,315.725708,69601100,-0.008254654
8/12/20,335.440002,338.279999,335.410004,337.440002,320.127655,53774400,0.013942314
8/13/20,336.609985,338.25,335.829987,336.829987,319.54895,41816100,-0.001807732
8/14/20,336.410004,337.420013,335.619995,336.839996,319.558472,47260400,2.97983E-05
8/17/20,337.940002,338.339996,336.850006,337.910004,320.573578,35481000,0.003176589
8/18/20,338.339996,339.100006,336.609985,338.640015,321.266174,38733900,0.00216049
8/19/20,339.049988,339.609985,336.619995,337.230011,319.928497,68054200,-0.004163765
8/20/20,335.359985,338.799988,335.220001,338.279999,320.924622,42207800,0.003113586
8/21/20,337.920013,339.720001,337.549988,339.480011,322.063049,55106600,0.003547335
8/24/20,342.119995,343,339.450012,342.920013,325.326569,48588700,0.010133171
8/25/20,343.529999,344.209991,342.269989,344.119995,326.464996,38463400,0.003499336
8/26/20,344.76001,347.859985,344.170013,347.570007,329.737915,50790200,0.010025329
8/27/20,348.51001,349.899994,346.529999,348.329987,330.458954,58034100,0.002186703
8/28/20,349.440002,350.720001,348.149994,350.579987,332.593506,48588900,0.006459356
8/31/20,350.350006,351.299988,349.059998,349.309998,331.388672,66099200,-0.003622542
9/1/20,350.209991,352.709991,349.23999,352.600006,334.509949,54908700,0.00941878
9/2/20,354.670013,358.75,353.429993,357.700012,339.348297,69540000,0.014463988
9/3/20,355.869995,356.380005,342.589996,345.390015,327.66983,148011100,-0.034414397
9/4/20,346.130005,347.829987,334.869995,342.570007,324.994476,139156300,-0.008164786
9/8/20,336.709991,342.640015,332.880005,333.209991,316.114624,114465300,-0.027323086
9/9/20,337.549988,342.459991,336.609985,339.790009,322.357117,91462300,0.019747562
9/10/20,341.820007,342.529999,332.850006,333.890015,316.759888,90569500,-0.017363442
9/11/20,335.820007,336.970001,331,334.059998,316.921173,84680200,0.000509171
9/14/20,337.48999,340.380005,334.220001,338.459991,321.095337,65605700,0.013170985
9/15/20,341.119995,342.019989,338.470001,340.170013,322.717621,52920900,0.005052344
9/16/20,341.51001,343.059998,338.519989,338.820007,321.43692,82096000,-0.003968488
9/17/20,333.559998,337.700012,332.98999,335.839996,318.609772,91523300,-0.008795343
9/18/20,335.369995,335.48999,327.970001,330.649994,314.941772,105877900,-0.011512516
9/21/20,325.700012,327.130005,321.730011,326.970001,311.436584,99450800,-0.011129638
9/22/20,328.570007,330.899994,325.859985,330.299988,314.608368,63612100,0.010184365
9/23/20,330.899994,331.200012,322.100006,322.640015,307.312317,93112200,-0.023190899
9/24/20,321.220001,326.799988,319.799988,323.5,308.131439,76681300,0.002665438
9/25/20,322.579987,329.579987,321.640015,328.730011,313.112854,71069400,0.016166526
9/28/20,333.220001,334.959991,332.149994,334.190002,318.313538,64584600,0.016609615
9/29/20,333.970001,334.769989,331.619995,332.369995,316.580048,51304000,-0.005445857
9/30/20,333.089996,338.290009,332.880005,334.890015,318.980255,104081100,0.007581675
10/1/20,337.690002,338.73999,335.01001,337.040009,321.028168,88698700,0.006420187
10/2/20,331.700012,337.01001,331.190002,333.839996,317.980133,89431100,-0.009494603
10/5/20,336.059998,339.959991,336.01001,339.76001,323.618988,45713100,0.017733356
10/6/20,339.910004,342.170013,334.380005,334.929993,319.018402,90128900,-0.014216057
10/7/20,338.119995,341.630005,338.089996,340.76001,324.571442,56999600,0.017406645
10/8/20,342.850006,343.850006,341.859985,343.779999,327.447937,45242500,0.00886244
10/9/20,345.559998,347.350006,344.890015,346.850006,330.372101,59528600,0.008930165
10/12/20,349.589996,354.019989,349.059998,352.429993,335.687042,80388500,0.016087742
10/13/20,352.279999,352.470001,349.089996,350.130005,333.496246,73255500,-0.006526305
10/14/20,350.75,351.929993,347.140015,347.929993,331.400757,57727900,-0.006283396
10/15/20,343.709991,348.019989,343.130005,347.5,330.991241,60357700,-0.001235712
10/16/20,348.959991,350.75,347.100006,347.290009,330.791168,89501900,-0.000604466
10/19/20,348.649994,349.329987,341.040009,342.01001,325.762024,68425600,-0.015203381
10/20/20,343.459991,346.880005,342.640015,343.380005,327.066956,60051900,0.004005783
10/21/20,343.329987,345.670013,342.399994,342.730011,326.447845,63575000,-0.001892918
10/22/20,342.959991,345.23999,340.649994,344.609985,328.238464,55399300,0.005485161
10/23/20,345.929993,345.98999,343.130005,345.779999,329.353027,49143900,0.003395589
10/26/20,342.130005,342.980011,335.619995,339.390015,323.26651,91473000,-0.018480222
10/27/20,339.76001,340.119995,337.98999,338.220001,322.1521,65994100,-0.003447341
10/28/20,332.100006,338.25,326.130005,326.660004,311.141266,127094300,-0.034178992
10/29/20,326.910004,333.399994,325.089996,329.980011,314.303528,90597700,0.010163428
10/30/20,328.279999,329.690002,322.600006,326.540009,311.026978,120287300,-0.010424795
11/2/20,330.200012,332.359985,327.23999,330.200012,314.513092,86068300,0.011208397
